"행정구역","2022년05월_총인구수","2022년05월_세대수","2022년05월_세대당 인구","2022년05월_남자 인구수","2022년05월_여자 인구수","2022년05월_남여 비율"
"전국  (1000000000)","51,583,722","23,650,555","          2.18","25,715,591","25,868,131","          0.99"
"서울특별시  (1100000000)","9,496,887","4,460,604","          2.13","4,607,440","4,889,447","          0.94"
"부산광역시  (2600000000)","3,338,167","1,555,326","          2.15","1,631,825","1,706,342","          0.96"
"대구광역시  (2700000000)","2,376,676","1,070,212","          2.22","1,170,309","1,206,367","          0.97"
"인천광역시  (2800000000)","2,955,167","1,311,588","          2.25","1,479,428","1,475,739","          1.00"
"광주광역시  (2900000000)","1,436,012","649,454","          2.21","710,062","725,950","          0.98"
"대전광역시  (3000000000)","1,448,933","669,589","          2.16","722,840","726,093","          1.00"
"울산광역시  (3100000000)","1,116,482","485,349","          2.30","573,619","542,863","          1.06"
"세종특별자치시  (3600000000)","379,340","157,846","          2.40","189,302","190,038","          1.00"
"경기도  (4100000000)","13,581,496","5,890,145","          2.31","6,835,968","6,745,528","          1.01"
"강원도  (4200000000)","1,539,005","752,649","          2.04","774,458","764,547","          1.01"
"충청북도  (4300000000)","1,597,033","768,171","          2.08","811,009","786,024","          1.03"
"충청남도  (4400000000)","2,119,661","1,010,866","          2.10","1,084,296","1,035,365","          1.05"
"전라북도  (4500000000)","1,779,230","852,829","          2.09","885,475","893,755","          0.99"
"전라남도  (4600000000)","1,827,674","907,606","          2.01","920,050","907,624","          1.01"
"경상북도  (4700000000)","2,616,177","1,284,046","          2.04","1,319,332","1,296,845","          1.02"
"경상남도  (4800000000)","3,298,016","1,514,453","          2.18","1,660,600","1,637,416","          1.01"
"제주특별자치도  (5000000000)","677,766","309,822","          2.19","339,578","338,188","          1.00"
