사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-12,1호선,1,서울역,"1,023,496","992,919","158,933","149,469"
2021-12,1호선,10,동묘앞,"112,756","119,021","122,515","123,248"
2021-12,1호선,2,시청,"504,322","504,450","65,715","65,083"
2021-12,1호선,3,종각,"755,897","740,655","116,282","108,719"
2021-12,1호선,4,종로3가,"407,934","375,067","249,355","234,742"
2021-12,1호선,5,종로5가,"359,249","362,984","220,044","210,306"
2021-12,1호선,6,동대문,"203,911","186,986","104,871","102,595"
2021-12,1호선,7,신설동,"261,608","255,008","101,018","97,747"
2021-12,1호선,8,제기동,"217,819","208,609","226,280","241,771"
2021-12,1호선,9,청량리(서울시립대입구),"310,669","311,345","220,908","221,568"
2021-12,2호선,11,시청,"540,680","509,452","45,989","41,650"
2021-12,2호선,12,을지로입구,"982,885","988,632","86,779","80,990"
2021-12,2호선,13,을지로3가,"506,065","507,522","67,899","66,751"
2021-12,2호선,14,을지로4가,"255,754","254,756","76,676","74,906"
2021-12,2호선,15,동대문역사문화공원(DDP),"286,952","327,550","48,376","51,074"
2021-12,2호선,16,신당,"291,309","306,517","82,439","84,251"
2021-12,2호선,17,상왕십리,"322,628","311,510","59,983","60,404"
2021-12,2호선,18,왕십리(성동구청),"400,478","339,296","44,846","38,549"
2021-12,2호선,19,한양대,"190,894","203,182","11,090","11,286"
2021-12,2호선,20,뚝섬,"527,139","561,612","52,803","53,527"
2021-12,2호선,21,성수,"857,242","938,218","95,402","97,223"
2021-12,2호선,22,건대입구,"893,632","962,717","77,515","81,692"
2021-12,2호선,23,구의(광진구청),"543,750","532,520","89,370","91,337"
2021-12,2호선,24,강변(동서울터미널),"743,776","720,856","94,027","90,651"
2021-12,2호선,25,잠실나루,"295,802","284,133","69,511","69,653"
2021-12,2호선,26,잠실(송파구청),"1,818,728","1,800,757","157,744","150,693"
2021-12,2호선,27,잠실새내,"479,495","483,488","89,134","89,009"
2021-12,2호선,28,종합운동장,"157,245","171,325","33,220","34,300"
2021-12,2호선,29,삼성(무역센터),"1,316,032","1,329,333","105,062","96,936"
2021-12,2호선,30,선릉,"1,220,815","1,087,432","187,935","165,934"
2021-12,2호선,31,역삼,"1,149,888","1,284,203","133,013","133,875"
2021-12,2호선,32,강남,"2,039,844","2,034,226","153,264","137,102"
2021-12,2호선,33,교대(법원.검찰청),"722,883","820,071","127,929","143,147"
2021-12,2호선,34,서초,"497,366","476,180","64,735","64,091"
2021-12,2호선,35,방배,"370,160","391,002","63,384","62,418"
2021-12,2호선,36,사당,"833,943","936,935","151,989","146,637"
2021-12,2호선,37,낙성대(강감찬),"650,182","619,644","90,234","92,040"
2021-12,2호선,38,서울대입구(관악구청),"1,136,453","1,118,181","158,698","151,755"
2021-12,2호선,39,봉천,"514,606","466,119","121,295","121,944"
2021-12,2호선,40,신림,"1,539,965","1,480,893","193,877","197,464"
2021-12,2호선,41,신대방,"604,102","581,850","107,709","109,601"
2021-12,2호선,42,구로디지털단지,"1,423,173","1,419,575","146,156","148,585"
2021-12,2호선,43,대림(구로구청),"544,247","555,254","101,581","105,474"
2021-12,2호선,44,신도림,"1,133,288","1,133,622","162,357","153,213"
2021-12,2호선,45,문래,"486,820","501,625","67,482","66,648"
2021-12,2호선,46,영등포구청,"513,079","525,031","91,349","89,727"
2021-12,2호선,47,당산,"432,468","503,801","50,543","55,349"
2021-12,2호선,48,합정,"798,384","850,900","58,214","57,604"
2021-12,2호선,49,홍대입구,"1,499,404","1,574,086","82,749","78,997"
2021-12,2호선,50,신촌,"791,705","810,826","103,893","100,750"
2021-12,2호선,51,이대,"311,527","326,661","40,478","42,304"
2021-12,2호선,52,아현,"216,985","208,737","55,583","55,013"
2021-12,2호선,53,충정로(경기대입구),"215,278","231,078","42,287","42,115"
2021-12,2호선,54,용답,"59,726","59,331","15,472","15,432"
2021-12,2호선,55,신답,"35,129","40,152","8,071","9,016"
2021-12,2호선,56,신설동,"66,641","65,309","27,957","29,919"
2021-12,2호선,57,도림천,"29,636","30,387","6,423","7,049"
2021-12,2호선,58,양천구청,"139,297","147,569","39,410","40,048"
2021-12,2호선,59,신정네거리,"213,219","220,374","59,590","60,611"
2021-12,2호선,60,용두(동대문구청),"44,326","44,259","20,365","21,497"
2021-12,3호선,61,지축,"96,731","92,614","21,583","20,576"
2021-12,3호선,62,구파발,"454,299","434,568","98,956","94,981"
2021-12,3호선,63,연신내,"773,989","727,150","219,200","213,071"
2021-12,3호선,64,불광,"321,928","344,114","117,579","129,643"
2021-12,3호선,65,녹번,"346,758","307,051","66,430","65,478"
2021-12,3호선,66,홍제,"341,161","320,988","117,295","115,650"
2021-12,3호선,67,무악재,"79,041","78,094","24,476","26,906"
2021-12,3호선,68,독립문,"126,293","133,374","56,741","55,705"
2021-12,3호선,69,경복궁(정부서울청사),"456,804","456,338","66,583","63,429"
2021-12,3호선,70,안국,"457,832","477,853","66,179","67,704"
2021-12,3호선,71,종로3가,"210,194","250,323","50,337","55,058"
2021-12,3호선,72,을지로3가,"225,223","234,470","46,869","44,938"
2021-12,3호선,73,충무로,22,0,2,0
